column_id,column_name,column_type,section,join_target
outlet_arrangement,Outlet arrangement,enum,,
emptying_access,Emptying access,enum,,
number_users_sharing,Number of users sharing,number,,
vehicle_type,Vehicle type,enum,,
registration_number,Registration number,text,,
load_capacity_unit_m3,Tank or load capacity (m³),number,,
load_capacity_unit_l,Tank or load capacity (L),number,,
load_capacity_unit_ft3,Tank or load capacity (ft³),number,,
load_capacity_unit_gal,Tank or load capacity (gal),number,,
load_capacity_magnitude,Tank or load capacity (raw magnitude),number,,
load_capacity_unit,Tank or load capacity (raw unit),enum,,
vacuum_pump_fitted,Vacuum pump fitted,boolean,,
manhole_type,Manhole type,enum,,
chamber_depth_unit_m,Chamber depth (m),number,,
chamber_depth_unit_ft,Chamber depth (ft),number,,
chamber_depth_magnitude,Chamber depth (raw magnitude),number,,
chamber_depth_unit,Chamber depth (raw unit),enum,,
cover_shape,Cover shape,enum,,
cover_diameter_unit_m,Cover diameter (m),number,,
cover_diameter_unit_cm,Cover diameter (cm),number,,
cover_diameter_unit_mm,Cover diameter (mm),number,,
cover_diameter_unit_in,Cover diameter (in),number,,
cover_diameter_magnitude,Cover diameter (raw magnitude),number,,
cover_diameter_unit,Cover diameter (raw unit),enum,,
cover_length_unit_m,Cover length (m),number,,
cover_length_unit_cm,Cover length (cm),number,,
cover_length_unit_mm,Cover length (mm),number,,
cover_length_unit_in,Cover length (in),number,,
cover_length_magnitude,Cover length (raw magnitude),number,,
cover_length_unit,Cover length (raw unit),enum,,
cover_width_unit_m,Cover width (m),number,,
cover_width_unit_cm,Cover width (cm),number,,
cover_width_unit_mm,Cover width (mm),number,,
cover_width_unit_in,Cover width (in),number,,
cover_width_magnitude,Cover width (raw magnitude),number,,
cover_width_unit,Cover width (raw unit),enum,,
cover_load_class,Cover load class,enum,,
access_aid_type,Access aid type,enum,,
junction_type,Junction type,enum,,
valve_type,Valve type,enum,,
date_last_actuation,Date of last actuation,date,,
overflow_type,Flow control element type,enum,,
overflow_function,Flow control function,enum,,
structure_type,Structure type,enum,,
perimeter_type,Perimeter type,enum,,
perimeter_total_length_unit_m,Perimeter total length (m),number,,
perimeter_total_length_unit_ft,Perimeter total length (ft),number,,
perimeter_total_length_unit_km,Perimeter total length (km),number,,
perimeter_total_length_unit_yd,Perimeter total length (yd),number,,
perimeter_total_length_unit_mi,Perimeter total length (mi),number,,
perimeter_total_length_magnitude,Perimeter total length (raw magnitude),number,,
perimeter_total_length_unit,Perimeter total length (raw unit),enum,,
perimeter_height_unit_m,Perimeter height (m),number,,
perimeter_height_unit_km,Perimeter height (km),number,,
perimeter_height_unit_ft,Perimeter height (ft),number,,
perimeter_height_unit_yd,Perimeter height (yd),number,,
perimeter_height_unit_mi,Perimeter height (mi),number,,
perimeter_height_magnitude,Perimeter height (raw magnitude),number,,
perimeter_height_unit,Perimeter height (raw unit),enum,,
perimeter_setback_distance_unit_m,Perimeter setback distance (m),number,,
perimeter_setback_distance_unit_km,Perimeter setback distance (km),number,,
perimeter_setback_distance_unit_ft,Perimeter setback distance (ft),number,,
perimeter_setback_distance_unit_yd,Perimeter setback distance (yd),number,,
perimeter_setback_distance_unit_mi,Perimeter setback distance (mi),number,,
perimeter_setback_distance_magnitude,Perimeter setback distance (raw magnitude),number,,
perimeter_setback_distance_unit,Perimeter setback distance (raw unit),enum,,
power_type,Power type,enum,,
rated_power_unit_w,Rated power output (W),number,,
rated_power_unit_kw,Rated power output (kW),number,,
rated_power_unit_hp,Rated power output (hp),number,,
rated_power_magnitude,Rated power output (raw magnitude),number,,
rated_power_unit,Rated power output (raw unit),enum,,
max_power_unit_w,Maximum power output (W),number,,
max_power_unit_kw,Maximum power output (kW),number,,
max_power_unit_hp,Maximum power output (hp),number,,
max_power_magnitude,Maximum power output (raw magnitude),number,,
max_power_unit,Maximum power output (raw unit),enum,,
nominal_voltage_unit_v,Nominal voltage (V),number,,
nominal_voltage_unit_kv,Nominal voltage (kV),number,,
nominal_voltage_magnitude,Nominal voltage (raw magnitude),number,,
nominal_voltage_unit,Nominal voltage (raw unit),enum,,
rated_voltage_unit_v,Rated voltage (V),number,,
rated_voltage_unit_kv,Rated voltage (kV),number,,
rated_voltage_magnitude,Rated voltage (raw magnitude),number,,
