attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
30102,Source meter installed,Source,Checkbox,entities.water_asset,source_meter_installed,Source meter installed,boolean,exact_name,1
30103,Water quality tested,Source,Checkbox,entities.water_asset,water_quality_tested,Water quality tested,boolean,exact_name,1
30104,Date of most recent sample,Source,Date,entities.water_asset,date_water_quality_tested,Date of most recent sample,date,exact_name,1
30105,Name of water body,Source,Text,entities.water_asset,name_water_body,Name of water body,text,exact_name,1
30106,Source pressure,Source,Unit,entities.water_asset,source_pressure_magnitude,Source pressure (raw magnitude),number,unit_family,1
30107,Nominal flow,Source,Unit,entities.water_asset,nominal_flow_magnitude,Nominal flow (raw magnitude),number,unit_family,1
30108,Minimum flow,Source,Unit,entities.water_asset,minimum_flow_magnitude,Minimum flow (raw magnitude),number,unit_family_ambiguous,2
30109,Maximum flow,Source,Unit,entities.water_asset,maximum_flow_magnitude,Maximum flow (raw magnitude),number,unit_family_ambiguous,2
30121,Well depth,Source,Unit,entities.water_asset,well_depth_magnitude,Well depth (raw magnitude),number,unit_family,1
30122,Well diameter,Source,Unit,entities.water_asset,well_diameter_magnitude,Well diameter (raw magnitude),number,unit_family,1
30123,Static water level,Source,Unit,entities.water_asset,static_water_level_magnitude,Static water level (raw magnitude),number,unit_family,1
30124,Dynamic water level,Source,Unit,entities.water_asset,dynamic_water_level_magnitude,Dynamic water level (raw magnitude),number,unit_family,1
30125,Groundwater temperature,Source,Unit,entities.water_asset,groundwater_temperature_magnitude,Groundwater temperature (raw magnitude),number,unit_family,1
30126,Pump or lifting device,Source,Choice,entities.water_asset,pump_or_lifting_device,Pump or lifting device,enum,exact_name,1
30127,Apron installed,Source,Checkbox,entities.water_asset,apron_installed,Apron installed,boolean,exact_name,1
30128,Monitoring well,Source,Checkbox,entities.water_asset,monitoring_well,Monitoring well,boolean,exact_name,1
30141,Spring box present,Source,Checkbox,entities.water_asset,spring_box_present,Spring box present,boolean,exact_name,1
30142,Spring box length,Source,Unit,entities.water_asset,spring_box_length_magnitude,Spring box length (raw magnitude),number,unit_family,1
30143,Spring box width,Source,Unit,entities.water_asset,spring_box_width_magnitude,Spring box width (raw magnitude),number,unit_family,1
30144,Spring box depth,Source,Unit,entities.water_asset,spring_box_depth_magnitude,Spring box depth (raw magnitude),number,unit_family,1
30145,Overflow pipe present,Source,Checkbox,entities.water_asset,overflow_pipe_present,Overflow pipe present,boolean,exact_name,1
30146,Drain pipe present,Source,Checkbox,entities.water_asset,drain_pipe_present,Drain pipe present,boolean,exact_name,1
30151,Casing diameter,Source,Unit,entities.water_asset,casing_diameter_magnitude,Casing diameter (raw magnitude),number,unit_family,1
30152,Depth of casing,Source,Unit,entities.water_asset,depth_of_casing_magnitude,Depth of casing (raw magnitude),number,unit_family,1
