column_id,enum_id,enum_name
vehicle_type,flatbed_sludge_truck,Flatbed sludge truck
vehicle_type,motorized_cart_or_small_vehicle,Motorized cart or small vehicle
vehicle_type,manual_cart,Manual cart
vehicle_type,sewer_jetter,Sewer jetter (trailer or truck-mounted)
vehicle_type,other,Other
load_capacity_unit,m3,cubic meters
load_capacity_unit,l,liters
load_capacity_unit,ft3,cubic feet
load_capacity_unit,gal,gallons
manhole_type,standard_manhole,Standard manhole
manhole_type,inspection_chamber,Inspection chamber
manhole_type,cleanout,Cleanout
manhole_type,drop_manhole,Drop manhole
manhole_type,junction_chamber,Junction chamber
manhole_type,catch_basin_or_inlet,Catch basin or inlet (combined systems)
manhole_type,other,Other
chamber_depth_unit,m,meters
chamber_depth_unit,ft,feet
cover_shape,round,Round
cover_shape,rectangular,Rectangular
cover_shape,other,Other
cover_diameter_unit,m,meters
cover_diameter_unit,cm,centimeters
cover_diameter_unit,mm,millimeters
cover_diameter_unit,in,inches
cover_length_unit,m,meters
cover_length_unit,cm,centimeters
cover_length_unit,mm,millimeters
cover_length_unit,in,inches
cover_width_unit,m,meters
cover_width_unit,cm,centimeters
cover_width_unit,mm,millimeters
cover_width_unit,in,inches
cover_load_class,a15,A15
cover_load_class,b125,B125
cover_load_class,c250,C250
cover_load_class,d400,D400
cover_load_class,e600,E600
cover_load_class,f900,F900
cover_load_class,unknown,Unknown
access_aid_type,none,None
access_aid_type,steps,Steps
access_aid_type,ladder,Ladder
access_aid_type,other,Other
junction_type,wye,Wye
junction_type,tee,Tee
junction_type,bend,Bend
junction_type,reducer,Reducer
junction_type,saddle,Saddle
junction_type,coupling_or_sleeve,Coupling or sleeve
junction_type,cap_or_plug,Cap or plug
junction_type,riser,Riser
junction_type,other,Other
valve_type,gate,Gate
valve_type,knife_gate,Knife gate
valve_type,plug,Plug
valve_type,check,Check (non-return/flap)
valve_type,air_release_vacuum,Air release/vacuum
valve_type,backflow_preventer,Backflow preventer
valve_type,other,Other
overflow_type,side_weir,Side weir
overflow_type,transverse_weir,Transverse weir
overflow_type,leaping_weir,Leaping weir
overflow_type,movable_weir,Movable weir
overflow_type,gate_or_penstock,Gate or penstock
overflow_type,stop_logs,Stop logs
overflow_type,orifice_or_fixed_throttle,Orifice or fixed throttle
overflow_type,vortex_flow_regulator,Vortex flow regulator
overflow_type,flow_splitter,Flow splitter
overflow_type,overflow_pipe,Overflow pipe
overflow_type,flume,Flume
overflow_type,other,Other
