attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
00171,Primary contact name,,Text,entities.sanitation_asset,primary_contact_name,Primary contact name,text,exact_name,1
00172,Primary contact position,,Text,entities.sanitation_asset,primary_contact_position,Primary contact position,text,exact_name,1
00173,Primary contact phone number,,Text,entities.sanitation_asset,primary_contact_phone,Primary contact phone number,text,exact_name,1
00174,Secondary contact name,,Text,entities.sanitation_asset,secondary_contact_name,Secondary contact name,text,exact_name,1
00175,Secondary contact position,,Text,entities.sanitation_asset,secondary_contact_position,Secondary contact position,text,exact_name,1
00176,Secondary contact phone number,,Text,entities.sanitation_asset,secondary_contact_phone,Secondary contact phone number,text,exact_name,1
00181,Date updated,,Date,entities.sanitation_asset,,,,unmatched,0
00182,Date inspected,,Date,entities.sanitation_asset,date_inspected,Date inspected,date,exact_name,1
00183,Alternate ID,,Text,entities.sanitation_asset,alt_id,Alternate ID,text,exact_name,1
00184,Import code,,Text,entities.sanitation_asset,import_code,Import code,text,exact_name,1
00185,Permit or licence number,,Text,entities.sanitation_asset,permit_number,Permit or licence number,text,exact_name,1
10201,Sanitation system type,Sanitation system,Choice,entities.sanitation_asset,,,,unmatched,0
10202,Sewer network type,Sanitation system,Choice,entities.sanitation_asset,,,,unmatched,0
10203,Management type,Sanitation system,Choice,entities.sanitation_asset,,,,unmatched,0
10204,Number of households in service area,Sanitation system,Number,entities.sanitation_asset,,,,unmatched,0
10205,Number of households currently served,Sanitation system,Number,entities.sanitation_asset,,,,unmatched,0
10206,System or network diagram,Sanitation system,Image,entities.sanitation_asset,,,,unmatched,0
10207,Total treatment capacity,Sanitation system,Unit,entities.sanitation_asset,,,,unmatched,0
10208,Sewer technology,Sanitation system,Choice,entities.sanitation_asset,,,,unmatched,0
10209,Design capacity (population equivalent),Sanitation system,Number,entities.sanitation_asset,,,,unmatched,0
20101,Facility type,Facility,Choice,entities.sanitation_asset,facility_type,Facility type,enum,exact_name,1
