attribute_code,choice_id,choice_name,description
10208,vacuum,Vacuum,"Network kept under negative pressure by a central vacuum station, with interface valves at connections"
10208,mixed,Mixed,Network combines more than one sewer technology
20101,wastewater_treatment_plant,Wastewater treatment plant,Facility containing treatment works and process areas that treat sewered wastewater to an acceptable standard before discharge or reuse
20101,faecal_sludge_treatment_plant,Faecal sludge treatment plant,Facility designed to receive and treat faecal sludge delivered from on-site containment
20101,pumping_or_lift_station,Pumping or lift station,Structure containing pumps and related piping used to convey wastewater or faecal sludge
20101,transfer_station,Transfer station,Facility where faecal sludge from small-scale collection is transferred to larger transport for onward conveyance
20101,storage_facility,Storage facility,"One or more tanks used to store wastewater, effluent, or faecal sludge"
20101,process_area,Process area,"Area or building, often within a treatment plant, where a specific treatment process is carried out"
20101,retention_or_detention_facility,Retention or detention facility,"Basin or structure that temporarily holds flows, such as combined sewer overflow or equalization storage"
20101,other,Other,Any other type of facility not defined in this section
31501,flush_pour_flush_toilet,Flush/pour-flush toilet,"Toilet with a water seal, flushed by a cistern or by pouring water by hand, discharging to a sewer, septic tank, or pit"
31501,pit_latrine_with_slab,Pit latrine with slab,"Dry toilet over a pit, covered by a durable, cleanable slab or platform with a drop hole or seat"
31501,pit_latrine_without_slab_or_open_pit,Pit latrine without slab or open pit,"Dry toilet over a pit lacking a durable slab, platform, or seat"
31501,ventilated_improved_pit_vip_latrine,Ventilated improved pit (VIP) latrine,Pit latrine fitted with a vent pipe and screen to reduce odors and insects
31501,composting_toilet,Composting toilet,"Dry toilet in which carbon-rich material is added to excreta to produce compost, with or without urine separation"
31501,container_based_toilet,Container-based toilet,"Toilet that collects excreta in a sealable, removable container regularly collected for treatment"
31501,bucket,Bucket,"Bucket or other unsealed container used to collect excreta, periodically removed for disposal"
31501,hanging_toilet_or_latrine,Hanging toilet or latrine,"Toilet built over a river, sea, or other water body into which excreta drops directly"
31501,urinal,Urinal,"User interface that receives urine only, typically operated without a water seal"
31501,urine_diverting_toilet,Urine-diverting toilet,"Dry or flush toilet with a pan that separates urine from faeces at source for separate storage, treatment, or use"
31501,other,Other,Any other type of sanitation point not otherwise described in this section
31507,household_private,Household (private),Used exclusively by members of a single household
31507,shared_limited_number_of_households,Shared (limited number of households),"Used by a limited, known number of households, not open to the general public"
31507,communal_or_public,Communal or public,"Open to use by the general public or a community, not restricted to specific households"
31507,institutional,Institutional,"Dedicated to a public-service institution such as a school, health facility, or market"
31507,other,Other,Any other usage arrangement not otherwise defined in this section
31510,squat,Squat,"Pan set into the floor, used in a squatting position"
31510,seated,Seated,Pedestal or bench seat used in a sitting position
31510,mixed,Mixed,Facility contains both squat and seated units
32201,residential,Residential,Connection serving one or more dwellings
32201,commercial,Commercial,Connection serving a business or commercial premises
32201,industrial,Industrial,Connection serving an industrial facility
32201,institutional,Institutional,"Connection serving a public-service institution such as a school, health facility, or government office"
32201,other,Other,Any other type of connection not described in this section
32203,active,Active,Connection is in service and discharging to the network
32203,inactive,Inactive,"Connection exists but is not currently in use, such as at a vacant property"
32203,disconnected,Disconnected,Connection has been physically or administratively disconnected from the network
32203,closed,Closed,Customer account has been permanently closed
31601,septic_tank,Septic tank,Tank with two or more chambers separated by a baffle that settles and partially digests excreta before discharging effluent through an outlet
31601,holding_tank,Holding tank,"Fixed tank with no outlet, used to collect and store excreta or wastewater until emptied in place"
31601,pit,Pit,"Excavated chamber, lined or unlined, that collects and stores excreta without the settling-and-discharge design of a septic tank"
31601,twin_pits_or_alternating_pits,Twin pits or alternating pits,Two pits used alternately so contents in the resting pit can decompose before emptying
31601,composting_chamber_or_dehydration_vault,Composting chamber or dehydration vault,Sealed above- or below-ground chamber that dries or composts excreta without water
31601,container_based_sanitation,Container-based sanitation,"Sealable, removable containers regularly collected by a service provider and delivered to treatment"
31601,biodigester,Biodigester,Sealed anaerobic digestion tank that stabilizes excreta and produces biogas
31601,other,Other,Any other type of containment not otherwise described in this section
31604,lined_and_sealed_watertight,"Lined and sealed, watertight",Structure is fully impermeable with no infiltration into surrounding soil
31604,lined_impermeable_walls_open_bottom,"Lined, impermeable walls, open bottom",Walls are impermeable but the base allows liquid to infiltrate the soil
31604,lined_semi_permeable_walls_open_bottom,"Lined, semi-permeable walls, open bottom","Walls allow some infiltration, such as honeycomb brick or open-jointed rings, and the base allows liquid to infiltrate the soil"
31604,unlined,Unlined,"Walls and base are permeable, allowing liquid to infiltrate the surrounding soil"
31604,unknown,Unknown,Lining or sealing status has not been determined
31605,sealed_no_outlet,"Sealed, no outlet",Fully enclosed structure with no effluent discharge; contents must be emptied
31605,to_soak_pit_or_leach_field,To soak pit or leach field,Effluent discharges to a soak pit or leach field for infiltration
31605,to_sewer_or_open_drain,To sewer or open drain,Effluent discharges to a sewer network or an open/storm drain
31605,to_open_ground_or_water_body,To open ground or water body,Effluent discharges uncontrolled to the ground surface or a water body
31605,unknown,Unknown,Effluent destination has not been determined
31605,other,Other,Any other outlet arrangement not otherwise defined in this section
31606,accessible_by_vacuum_truck_or_mechanized_equipment,Accessible by vacuum truck or mechanized equipment,Site and compartment openings allow truck-mounted or motorized emptying equipment to reach and access the structure
31606,accessible_by_manual_equipment_only,Accessible by manual equipment only,No vehicle access; contents can only be removed using handheld pumps or manual tools
31606,not_accessible_for_emptying,Not accessible for emptying,No opening or access point exists to remove the structure's contents
31606,unknown,Unknown,Emptying accessibility has not been assessed
31701,vacuum_tanker,Vacuum tanker,"Self-propelled truck fitted with an integrated vacuum pump and storage tank, used to suck and transport faecal sludge or septage"
31701,vacuum_trailer_tractor_towed,Vacuum trailer (tractor-towed),Vacuum tank mounted on a towed trailer chassis and propelled by a separate tractor or vehicle rather than a self-contained truck
31701,flatbed_sludge_truck,Flatbed sludge truck,"Truck with an open or enclosed load bed used to transport drums, containers, or bins of faecal sludge without an integrated vacuum pump"
31701,motorized_cart_or_small_vehicle,Motorized cart or small vehicle,"Small motorized unit, such as a tank mounted on a motorcycle, three-wheeler, or walking tractor"
31701,manual_cart,Manual cart,"Human- or animal-powered cart used to transport containers or a tank of faecal sludge, sometimes fitted with a manual pump"
31701,sewer_jetter_trailer_or_truck_mounted,Sewer jetter (trailer or truck-mounted),High-pressure water jetting unit used to clear and clean sewer lines; trailer- or truck-mounted
31701,other,Other,Any other vehicle type not described in this section
31801,standard_manhole,Standard manhole,"Routine access chamber installed at changes in alignment, gradient, diameter, or at junctions"
31801,inspection_chamber,Inspection chamber,"Small, shallow access chamber used in simplified or condominial sewerage in place of a full manhole"
31801,cleanout,Cleanout,Pipe fitting extended to the surface allowing rodding or jetting access without a full chamber
31801,drop_manhole,Drop manhole,Manhole with an internal or external drop connection used where inflow and outflow inverts differ substantially
31801,junction_chamber,Junction chamber,Special-geometry chamber where multiple large sewers converge
31801,catch_basin_or_inlet_combined_systems,Catch basin or inlet (combined systems),Street-level inlet structure admitting stormwater to a combined sewer; dedicated stormwater drains are outside scope
31801,other,Other,Any type of manhole not otherwise defined in this section
31803,round,Round,Circular cover and frame
31803,rectangular,Rectangular,Rectangular or square cover and frame
31803,other,Other,Any other cover shape not otherwise defined
31805,a15,A15,"Areas usable only by pedestrians and cyclists, e.g. gardens"
31805,b125,B125,"Footways, pedestrian precincts and comparable areas"
31805,c250,C250,"Areas alongside kerbs, extending up to 0.5 m into the carriageway"
31805,d400,D400,"Carriageways of roads, including pedestrian streets and parking areas"
31805,e600,E600,"Areas subject to heavy wheel loads, e.g. ports and industrial pavements"
31805,f900,F900,"Areas subject to particularly heavy wheel loads, e.g. airport pavements"
31805,unknown,Unknown,Load class of the installed cover has not been determined
31806,none,None,"No fixed steps, ladder, or rungs are installed"
31806,steps,Steps,Individual fixed step irons or rungs installed in the chamber wall
31806,ladder,Ladder,Continuous fixed ladder installed in the chamber
31806,other,Other,Any other type of access aid not otherwise defined
31001,wye,Wye,Angled Y-shaped fitting joining a branch line to a main at a shallow angle to reduce solids deposition
31001,tee,Tee,Fitting in the shape of the letter T allowing a perpendicular three-way connection
31001,bend,Bend,"Fitting that changes the direction of a pipe run, usually at a standard angle"
31001,reducer,Reducer,Fitting used to join two different sized pieces of pipe
31001,saddle,Saddle,Fitting clamped or fused onto an existing main to create a branch connection
31001,coupling_or_sleeve,Coupling or sleeve,"Fitting joining two pipe ends in line, including repair couplings used in sewer rehabilitation"
31001,cap_or_plug,Cap or plug,"Fitting closing a pipe end or stub, such as a capped connection awaiting future use"
31001,riser,Riser,Vertical pipe section connecting a deep main upward toward a lateral or the surface
31001,other,Other,Any type of junction not otherwise described in this section
30801,gate,Gate,Sliding gate that fully closes off or opens flow in a pipe
30801,knife_gate,Knife gate,Thin-blade gate valve designed to cut through solids-laden or sludge flow without clogging
30801,plug,Plug,"Rotating tapered or cylindrical plug used to shut off or throttle flow, tolerant of debris"
30801,check_non_return_flap,Check (non-return/flap),Allows flow in only one direction and closes automatically when flow tries to reverse
30801,air_release_vacuum,Air release/vacuum,Placed at a high point to release trapped air or admit air to prevent vacuum buildup in a pipe
30801,backflow_preventer,Backflow preventer,Device that stops sewage from flowing back into a property or upstream section during surcharge
30801,other,Other,Any other type of valve not otherwise described in this section
32101,side_weir,Side weir,"Weir set parallel to the direction of flow along the side of a channel or chamber, spilling excess flow over its crest once the water level rises above the sill"
32101,transverse_weir,Transverse weir,Weir set across the direction of flow so that all flow above the sill level passes over the crest to the downstream or overflow side
32101,leaping_weir,Leaping weir,Opening or gap in the channel invert sized so that low dry-weather flow drops through to the intercepting sewer while higher storm flows leap across to the overflow side
32101,movable_weir,Movable weir,"Weir whose sill or crest can be raised, lowered, or tilted during operation to adjust the overflow level"
32101,gate_or_penstock,Gate or penstock,"Vertically sliding plate or sluice gate mounted at a channel, chamber, or tank opening, raised or lowered to close off or regulate free-surface flow"
32101,stop_logs,Stop logs,Removable beams or plates inserted into vertical guides to close off or throttle a channel or chamber opening; modern versions are aluminum stop plates
32101,orifice_or_fixed_throttle,Orifice or fixed throttle,"Fixed opening or plate, such as an orifice plate or throttle pipe, that limits the discharge passed downstream by restricting the flow area"
32101,vortex_flow_regulator,Vortex flow regulator,Self-activating device with no moving parts in which rising head develops a swirling air core that sharply limits the discharge passed downstream
32101,flow_splitter,Flow splitter,"Structure that divides incoming flow between two or more downstream lines or process units in set proportions, typically over fixed weirs sized in proportion to the receiving units' capacity"
32101,overflow_pipe,Overflow pipe,"Relief pipe set at a fixed level in a tank, chamber, or storage volume that discharges excess flow once the water surface rises above its invert; a relief sewer conveying the overflow onward is registered as a Pipe asset"
32101,flume,Flume,"Open-channel constriction, such as a Parshall or Venturi flume, installed primarily to control velocity or level in a channel by forcing flow through critical depth; a flume whose primary purpose is flow measurement is registered as a Meter"
32101,other,Other,Any other flow control element not otherwise described in this section
32102,combined_sewer_overflow,Combined sewer overflow,Diverts wet-weather flow exceeding the intercepting sewer's capacity from a combined sewer to a receiving water
32102,storage_or_basin_overflow,Storage or basin overflow,"Relieves a storage or equalization volume, such as a stormwater tank or retention basin, once its capacity is reached"
32102,process_or_clarifier_overflow,Process or clarifier overflow,Controls the discharge of settled effluent over the outlet weirs of a clarifier or other treatment process unit
32102,emergency_overflow,Emergency overflow,"Provides a relief path that operates only under failure conditions, such as pump failure or blockage, to prevent uncontrolled flooding"
32102,flow_splitting,Flow splitting,Divides flow in set proportions between parallel downstream units or lines
32102,level_control,Level control,"Maintains a set water level or velocity in an upstream channel, tank, or process unit"
32102,other,Other,Any other function not otherwise described in this section
31401,building,Building,Any enclosed structure designed to protect from the elements
31401,perimeter,Perimeter,"Fence, wall, or other protective structure that encloses a land area"
31401,road,Road,Linear pathway that has been improved to allow for travel by vehicles and pedestrians
31401,apron,Apron,"Smooth, impermeable surface constructed around a toilet, treatment unit, or vehicle discharge point to prevent spilled wastewater or sludge from pooling or infiltrating the ground"
31401,discharge_structure,Discharge structure,"Fixed structure, such as a receiving station, where vehicles discharge collected faecal sludge or septage into a treatment plant or transfer station"
31401,utility_vault,Utility vault,Underground room or vault providing access and protection to equipment
31401,vehicle_washing_bay,Vehicle washing bay,"Hardstanding area with drainage where emptying and transport vehicles are washed down, typically at a faecal sludge receiving station or treatment plant"
31401,flood_protection_bund,Flood protection bund,Earthen or constructed barrier protecting a sanitation asset site against flooding
31401,other,Other,Any type of structure not otherwise defined in this section
31411,fence,Fence,Barrier constructed of vertical posts connected by horizontal sections of sturdy material
31411,wall,Wall,Permanent structure with a continuous surface
31411,other,Other,Any type of perimeter structure not defined elsewhere in this section
30401,grid,Grid,Connection to an electrical transmission and distribution system
30401,generator,Generator,"Diesel, gas, or petrol powered engine that converts rotary motion into electrical current"
30401,solar,Solar,Solar or photovoltaic power system
30401,wind,Wind,Wind turbine or windmill equipped with an electrical generator
30401,other,Other,Any other power type not defined in this section
30407,single_phase_ac,Single phase AC,Alternating current electrical system that uses two wires: one neutral wire and one phase wire in which the voltage rises to a peak in one direction and then reverses
30407,three_phase_ac,Three phase AC,Alternating current electrical system that uses four wires: one neutral wire and three phase wires in which the voltage rises to a peak and reverses direction at different times
30407,dc,DC,Direct current system in which current always flows in one direction and the voltage does not change over time
30408,60_hz,60 Hz,60 cycles per second
30408,50_hz,50 Hz,50 cycles per second
30408,other,Other,Any non-standard current frequency
30421,gasoline_or_petrol,Gasoline or petrol,Fuel made from crude oil and other petroleum liquids that is often used in internal combustion engines
30421,diesel,Diesel,Distillate fuel oil that is used in compression ignition engines
30421,other,Other,Any other fuel used in generators that is not described in this section
30423,air,Air,Engine cooled by air circulation only
30423,liquid,Liquid,"Engine cooled by a circulating liquid, such as water or other coolant"
30424,polycrystalline,Polycrystalline,"Multicrystalline or poly panels, made of multiple pieces of silicon melted or joined together"
30424,monocrystalline,Monocrystalline,"Single crystalline or mono panel, made from a single silicon crystal"
30424,thin_film,Thin film,"Thin, flexible panel made from amorphous silicon or other materials"
30424,other,Other,Any other type of photovoltaic panel not described in this section
30701,motor,Motor,Electromechanical device for converting electrical energy into mechanical energy
30701,actuator,Actuator,Device that uses electrical or pneumatic power to operate valves
30701,power_device,Power device,Electrical or electronic device for managing the supply and distribution of electrical power
30701,electronic,Electronic,Component or device that controls the flow of electrical currents for the purpose of information processing and system control
30701,heater,Heater,Device that converts electrical energy into heat
30701,blower,Blower,Device that uses electrical energy to move or pressurize air
30701,other,Other,Any other type of electrical asset not defined in this section
30702,control_panel,Control panel,Controls electrical power distribution
30702,circuit_breaker,Circuit breaker,Automatic device for stopping the flow of current in a circuit in case of a fault
30702,uninterruptible_power_supply_ups,Uninterruptible power supply (UPS),"Energy storage device that ensures a constant supply of power, even during power outages"
30702,transformer,Transformer,Increases or decreases the voltage/current or vice versa
30702,power_conditioner,Power conditioner,Device that improves the quality of power delivered by smoothing out voltage spikes and reducing electrical noise
