attribute_code,choice_id,choice_name,description
30201,progressive_cavity_positive_displacement,Progressive cavity (positive displacement),Rotor turning within a flexible stator that advances thick or viscous sludge at a constant flow rate regardless of pressure
30201,diaphragm,Diaphragm,Motorized or manually operated pump that uses a flexible diaphragm to displace faecal sludge or wastewater; widely used for pit and septic tank emptying
30201,end_suction_centrifugal,End-suction centrifugal,"Fluid enters along the pump axis, is accelerated by an impeller, and exits at a right angle to the shaft through a single suction port"
30201,axial_flow,Axial flow,"Fluid is accelerated in the direction of the flow axis by an impeller running inside a casing; used for high-flow, low-head applications such as storm or combined sewer pump stations"
30201,manual_pump,Manual pump,"Human-powered pump, such as the Gulper, MAPET, or manually operated diaphragm pump (MDHP), used to manually lift or convey faecal sludge"
30201,other,Other,Any other pump type not described in this section
30204,integrated_with_pump,Integrated with pump,Motor and pump should be treated as the same asset
30204,separate_from_pump,Separate from pump,Motor should be treated as a separate asset from the pump
30205,single_phase_ac,Single phase AC,Alternating current electrical system that uses two wires: one neutral wire and one phase wire in which the voltage rises to a peak in one direction and then reverses
30205,three_phase_ac,Three phase AC,Alternating current electrical system that uses four wires: one neutral wire and three phase wires in which the voltage rises to a peak and reverses direction at different times
30205,dc,DC,Direct current system in which current always flows in one direction and the voltage does not change over time
30301,equalization_or_balancing_tank,Equalization or balancing tank,Attenuates variation in flow or organic load to protect downstream treatment units
30301,sludge_or_septage_holding_tank,Sludge or septage holding tank,"Temporarily stores sludge, septage, or faecal sludge before further treatment, transport, or disposal, within a treatment facility, transfer station, or conveyance network; an on-site tank storing excreta at the point of generation is a Containment asset (Holding tank)"
30301,chemical_storage_tank,Chemical storage tank,"Stores coagulants, polymers, chlorine, or other treatment chemicals prior to dosing"
30301,effluent_storage_tank,Effluent storage tank,"Stores treated effluent prior to discharge or reuse, such as for irrigation"
30301,wet_well,Wet well,Collects wastewater or sludge ahead of a pump to provide pump suction volume and control cycling
30301,portable_tank,Portable tank,Tank which can be moved from place to place; could be installed above or below ground
30301,combined_sewer_overflow_storage_tank_or_tunnel,Combined sewer overflow storage (tank or tunnel),Tank or deep tunnel that stores combined sewage during wet weather for later return to treatment
30301,other,Other,Any other tank function not otherwise described in this section
30302,pvc,PVC,"Polyvinyl chloride, a type of polymer frequently used in pipes and containers"
30302,plastic,Plastic,"Any high molecular weight polymer material that can be extruded, molded, or drawn into various shapes and sizes; use this category for any plastics that are not PVC"
30302,concrete,Concrete,"Mixture of cement and aggregate, usually reinforced with steel wire or rebar"
30302,aluminum,Aluminum,Lightweight metal composed mainly of elemental aluminum that may be alloyed with other elements
30302,steel,Steel,Iron-base alloy containing up to 2 percent carbon that is heat treated
30302,stainless_steel,Stainless steel,Chromium alloy steel that is resistant to rusting and corrosion
30302,composite,Composite,Structure that combines concrete with a steel support structure
30302,fiberglass,Fiberglass,Reinforced plastic material composed of glass fibers embedded within a resin matrix
30302,masonry,Masonry,"Brick, stone, or concrete blocks that are bound together with mortar"
30302,other,Other,Any other type of tank construction not described in this section
30304,cylindrical,Cylindrical,Tank with a circular cross section
30304,rectangular,Rectangular,"Tank with a rectangular cross section, including square"
30304,other,Other,Any other tank shape not described in this section
30501,screen,Screen,"Bar rack, mesh, or fine screen at the headworks that intercepts coarse solids, rags, and debris carried in the incoming flow"
30501,grit_removal,Grit removal,"Channel, vortex unit, or aerated chamber at the headworks in which sand, gravel, and other dense inorganic particles settle out of the flow"
30501,grease_or_fog_removal,Grease or FOG removal,"Trap, skimming chamber, or flotation unit at the headworks that separates fats, oils, and grease from the flow"
30501,sedimentation_or_settler,Sedimentation or settler,"Tank or basin in which settleable solids separate from wastewater or faecal sludge under gravity, whether ahead of or following biological treatment"
30501,imhoff_tank,Imhoff tank,Two-story tank combining primary sedimentation with separate sludge digestion in a lower compartment
30501,anaerobic_baffled_reactor_abr,Anaerobic baffled reactor (ABR),Series of baffled chambers that direct flow up and down through settled sludge for anaerobic treatment
30501,anaerobic_filter,Anaerobic filter,Fixed-bed reactor in which wastewater flows through a submerged filter medium supporting anaerobic biofilm
30501,upflow_anaerobic_sludge_blanket_uasb,Upflow anaerobic sludge blanket (UASB),Reactor in which wastewater flows upward through a blanket of anaerobic sludge granules for high-rate digestion
30501,waste_stabilization_pond,Waste stabilization pond,"Shallow earthen pond that treats wastewater by sedimentation, digestion, and algal-bacterial processes; typically constructed in series as anaerobic, facultative, and maturation stages. Each pond in a series is registered as a separate Treatment asset, linked using upstream/downstream relationships."
30501,aerated_lagoon_or_pond,Aerated lagoon or pond,Earthen basin in which mechanical or diffused aeration supplements natural oxygenation to treat wastewater
30501,free_water_surface_constructed_wetland,Free-water surface constructed wetland,"Engineered wetland in which wastewater flows as a shallow open layer above the soil, through the stems of emergent plants, resembling a natural marsh"
30501,horizontal_subsurface_flow_constructed_wetland,Horizontal subsurface flow constructed wetland,"Engineered wetland in which wastewater moves sideways through a planted bed of gravel or sand, staying below the surface of the media"
30501,vertical_flow_constructed_wetland,Vertical flow constructed wetland,Engineered wetland in which wastewater is applied to the surface in intermittent doses and drains downward through a planted media bed to collection pipes at the base
30501,trickling_filter,Trickling filter,Fixed-film reactor in which wastewater trickles over a bed of rock or plastic media colonized by microorganisms
30501,rotating_biological_contactor_rbc,Rotating biological contactor (RBC),Series of rotating discs partially submerged in wastewater that support a biofilm for aerobic treatment
30501,aeration_basin,Aeration basin,Basin in which wastewater is mixed with a suspended microbial culture and aerated to degrade organic matter
30501,sequencing_batch_reactor_sbr,Sequencing batch reactor (SBR),"Single basin in which aeration, settling, and decanting of a suspended microbial culture occur in timed sequence rather than in separate units"
30501,membrane_bioreactor_mbr,Membrane bioreactor (MBR),Basin holding a suspended microbial culture combined with membrane filtration in place of a separate settling stage
30501,moving_bed_biofilm_reactor_mbbr,Moving bed biofilm reactor (MBBR),Aerobic or anaerobic basin using free-floating plastic carriers that hold a biofilm in suspension
30501,coagulation_or_flocculation,Coagulation or flocculation,Addition of chemicals with gentle mixing to destabilize and aggregate suspended particles for improved settling
30501,filtration,Filtration,"Granular, cloth, or membrane filter that removes residual particulates from treated effluent"
30501,chlorine_contact_tank,Chlorine contact tank,"Basin or vessel in which chlorine, in liquid, solid, or gaseous form, is contacted with effluent for disinfection"
30501,uv_or_ozone_disinfection_unit,UV or ozone disinfection unit,"Reactor or chamber that inactivates pathogens in effluent by non-chlorine means, such as ultraviolet light or ozone"
30501,chemical_dosing_system,Chemical dosing system,"Storage, pump, and delivery equipment that doses chemicals for a treatment function such as pH control, odor control, or corrosion prevention"
30501,thickener,Thickener,Gravity or mechanical unit that concentrates sludge or faecal sludge solids before further treatment
30501,anaerobic_digester,Anaerobic digester,"Enclosed reactor in which microorganisms break down sludge or faecal sludge without oxygen, often producing biogas"
30501,unplanted_drying_bed,Unplanted drying bed,Shallow bed with a filtration medium that dewaters sludge or faecal sludge by drainage and evaporation
30501,planted_drying_bed,Planted drying bed,Drying bed planted with wetland vegetation that enhances dewatering and stabilization of sludge or faecal sludge
30501,dewatering_unit,Dewatering unit,"Centrifuge, belt filter press, or screw press that mechanically separates liquid from sludge or faecal sludge"
30501,composting_pad_or_windrow,Composting pad or windrow,"Pad, windrow, or vessel in which dewatered sludge or faecal sludge is mixed with organic bulking material and composted aerobically"
30501,lime_stabilization,Lime stabilization,Addition of lime to raise pH and reduce pathogens in sludge or faecal sludge
30501,incineration_or_thermal_treatment,Incineration or thermal treatment,Combustion or other thermal process that reduces sludge or faecal sludge volume and destroys pathogens
30501,aerobic_digester,Aerobic digester,Open or closed tank in which sludge is aerated to stabilize solids without biogas production; common in small and package plants
30501,odor_control_gas_treatment,Odor control (gas treatment),"Equipment that contains, ventilates and treats odorous gases from collection or treatment assets"
30501,other,Other,Any other type of treatment process not already described in this section
30502,preliminary,Preliminary,"Removal of large solids, grit, or debris ahead of primary treatment; standard engineering practice"
30502,primary,Primary,"Physical or chemical process, such as settlement, removing a substantial portion of settleable solids and some organic load"
30502,secondary,Secondary,Process generally involving biological treatment that reduces biodegradable organic matter
30502,tertiary,Tertiary,"Process that reduces nitrogen or phosphorus, or both"
30502,quaternary,Quaternary,Process that reduces a broad spectrum of micropollutants
30502,other,Other,Any treatment stage not otherwise described in this section
30507,geomembrane,Geomembrane,HDPE or other synthetic membrane liner
30507,compacted_clay,Compacted clay,Compacted clay or bentonite liner
30507,concrete_or_masonry,Concrete or masonry,"Concrete, masonry, or mortar lining"
30507,unlined,Unlined,"Earthen, with no constructed liner"
30507,unknown,Unknown,Liner status has not been determined
30507,other,Other,Any other liner type not otherwise defined in this section
30521,chlorine_gas,Chlorine gas,Gaseous molecular chlorine (Cl2) that forms hypochlorous acid and hypochlorite ion when dissolved in water
30521,sodium_hypochlorite_bleach,Sodium hypochlorite (bleach),Solution in which sodium hypochlorite (NaOCl) is hydrolyzed in water to form hypochlorous acid (HOCl)
30521,calcium_hypochlorite,Calcium hypochlorite,Dry calcium hypochlorite (Ca(OCl)2) in powder or pellets dissolved in water to form hypochlorous acid
30521,chloramine,Chloramine,"Disinfectant produced by mixing chlorine and ammonia, forming mainly monochloramine and dichloramine"
30521,chlorine_dioxide,Chlorine dioxide,"Red-yellow gas that is very reactive and unstable, decomposing in water to form chlorite ion"
30521,sulfur_dioxide,Sulfur dioxide,Gaseous sulfur dioxide (SO2) used to dechlorinate effluent by neutralizing residual chlorine before discharge
30521,ozone_on_site_generated,Ozone (on-site generated),Ozone (O3) generated on site from air or oxygen for disinfection or oxidation; cannot be stored or transported in bulk
30521,methanol,Methanol,Methanol (CH3OH) dosed as a supplemental carbon source for biological denitrification; flammable liquid
30521,ferric_chloride,Ferric chloride,Ferric chloride (FeCl3) solution used as a coagulant for solids and phosphorus removal; corrosive
30521,alum,Alum,Aluminum sulfate (Al2(SO4)3) used as a coagulant for solids and phosphorus removal
30521,lime,Lime,"Quicklime (CaO) or hydrated lime (Ca(OH)2) used for pH adjustment, chemical treatment, or sludge stabilization"
30521,caustic_soda,Caustic soda,Sodium hydroxide (NaOH) solution used for pH adjustment or gas scrubbing; corrosive
30521,acid,Acid,"Mineral acid, such as sulfuric or hydrochloric acid, used for pH adjustment; corrosive"
30521,polymer,Polymer,Organic polymer (polyelectrolyte) used as a flocculant or as a sludge conditioning and dewatering aid
30521,other,Other,Any other primary chemical not described in this section
31901,soak_pit,Soak pit,Buried chamber with permeable walls through which pre-settled effluent seeps gradually into the ground
31901,leach_field_or_drainage_field,Leach field or drainage field,"Buried perforated distribution pipes, bedded in gravel trenches, that spread effluent across an area of soil for infiltration"
31901,infiltration_trench,Infiltration trench,Narrow gravel- or sand-filled trench that receives effluent for subsurface infiltration
31901,evapotranspiration_bed,Evapotranspiration bed,Lined bed that disposes of effluent through evaporation and plant uptake rather than soil infiltration
31901,mound_system,Mound system,Raised soil mound used to disperse effluent where shallow soil or a high water table precludes a standard leach field
31901,other,Other,Any other type of dispersal structure not otherwise described in this section
32001,treatment_plant_outfall,Treatment plant outfall,Point where treated effluent leaves a treatment facility to a receiving water body
32001,combined_sewer_overflow_cso,Combined sewer overflow (CSO),"Engineered relief point on a combined network that diverts wet-weather flow exceeding downstream capacity to a receiving water; the weir, gate, or other element performing the diversion inside the chamber is registered separately as a Flow control asset"
32001,emergency_overflow,Emergency overflow,Point designed to relieve the system only under abnormal or emergency conditions; the element providing the relief path is registered separately as a Flow control asset
32001,other,Other,Any type of outfall not otherwise defined in this section
32004,river_or_stream,River or stream,Flowing inland surface water
32004,lake_or_reservoir,Lake or reservoir,Standing inland surface water body
32004,estuary,Estuary,Transitional water where a river meets the sea
32004,coastal_water,Coastal water,Marine water along the coast
32004,agricultural_land_or_reuse_system,Agricultural land or reuse system,"Effluent is delivered to agricultural land, an irrigation network, or another planned reuse system rather than discharged to a water body"
32004,other,Other,Any other receiving environment not defined in this section
40101,lateral_property_connection,Lateral (property connection),Small-diameter sewer connecting a single building or premises to the public network; the point where wastewater enters the collection system
40101,condominial_branch,Condominial branch,"Shared small-diameter sewer that collects wastewater from a group of properties, often routed through private lots, sidewalks, or backyards, and conveys it to a main; the defining element of simplified or condominial sewer systems"
40101,main,Main,Sewer that aggregates flow from laterals and carries it toward a trunk sewer or interceptor
40101,trunk,Trunk,High-capacity sewer receiving flow from mains and carrying it toward an interceptor or a treatment facility
40101,interceptor,Interceptor,Highest-order sewer in a network; collects flow from trunk and main sewers and delivers it to a treatment facility
40101,rising_main_force_main,Rising main (force main),"Pressurized pipe used to convey wastewater, typically downstream of a pump station"
40101,inverted_siphon,Inverted siphon,Depressed pipe or set of parallel pipes passing under an obstacle while maintaining self-cleansing velocity
40101,other,Other,Any other type of sewer pipe not defined in this section
40107,circular,Circular,Round pipe cross-section
40107,egg_shaped,Egg-shaped,"Ovoid profile, narrower at the invert, used to maintain velocity at low flows"
40107,rectangular,Rectangular,"Rectangular closed profile, typically for large box sewers"
40107,trapezoidal,Trapezoidal,"Trapezoidal profile, typically for large culverts or box sewers"
40107,u_shaped,U-shaped,Profile with a rounded (semi-circular) invert and straight vertical side walls
40107,other,Other,Any other cross-section shape not otherwise defined
40201,rectangular,Rectangular,Rectangular open channel profile
40201,trapezoidal,Trapezoidal,"Trapezoidal open channel profile, common for larger constructed drains"
40201,circular,Circular,Circular open channel profile
40201,u_shaped,U-shaped,Profile with a rounded (semi-circular) invert and straight vertical side walls
40201,irregular_or_natural,Irregular or natural,Unformed earthen or naturally shaped channel cross-section
40201,other,Other,Any other channel cross-section shape not otherwise defined
40203,open,Open,Channel is open to the atmosphere along its length
40203,covered,Covered,Channel has a fixed cover or slab over it
