code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
30315,Height of tank bottom,type_specific,,Tank,tank,Unit,Length,m,Distance from the ground level to the bottom of the inside of the tank; negative values are used for depths below the ground,,,Tank dimensions
30316,Minimum operating level,type_specific,,Tank,tank,Unit,Length,m,"Minimum fluid level allowed in the tank, measured from the tank bottom; this may be the height of the outlet or the minimum level allowed by a level control",,,Tank dimensions
30317,Maximum operating level,type_specific,,Tank,tank,Unit,Length,m,"Maximum fluid level allowed in the tank, measured from the tank bottom; this may be the height of the overflow pipe or the maximum level allowed by a level control",,,Tank dimensions
30323,Level indicator installed,type_specific,,Tank,tank,Checkbox,,,"Device is installed that provides a visual or electronic measurement of the tank fill level, used to trigger alarms or control pumps",,,Tank details
30501,Treatment type,type_specific,,Treatment,treatment,Choice,,,"Categorization of treatment process by treatment method or objective, spanning liquid-stream (wastewater) and sludge/faecal sludge treatment technologies",,,Treatment info
30502,Treatment level,type_specific,,Treatment,treatment,Choice,,,"Stage of treatment achieved by this unit, based on the pollutant-removal mechanism used; choices follow the legal definitions in Directive (EU) 2024/3019, Art. 2(11)-(14)",,,Treatment info
30503,Design capacity of the unit,type_specific,,Treatment,treatment,Unit,Flow rate,m³/s,Design flow capacity of this specific treatment unit or process,,,Treatment info
30504,Design organic load capacity of the unit,type_specific,,Treatment,treatment,Unit,Mass flow,kg/d,"Design organic load capacity of this treatment unit, measured as the mass of five-day biochemical oxygen demand (BOD₅) treated per day",,,Treatment info
30505,Surface area,type_specific,,Treatment,treatment,Unit,Area,m²,"Plan surface area of the treatment unit at the water or bed surface, such as a pond, wetland, drying bed, or basin","Treatment type: Waste stabilization pond, Aerated lagoon or pond, Free-water surface constructed wetland, Horizontal subsurface flow constructed wetland, Vertical flow constructed wetland, Unplanted drying bed, Planted drying bed",,Treatment info
30506,Depth,type_specific,,Treatment,treatment,Unit,Length,m,"Vertical distance from the water or bed surface to the bottom of the treatment unit; for ponds, the design liquid depth excluding freeboard","Treatment type: Waste stabilization pond, Aerated lagoon or pond, Free-water surface constructed wetland, Horizontal subsurface flow constructed wetland, Vertical flow constructed wetland, Unplanted drying bed, Planted drying bed",,Treatment info
30507,Liner,type_specific,,Treatment,treatment,Choice,,,Type of liner installed to control seepage from the treatment unit into the surrounding soil,"Treatment type: Waste stabilization pond, Aerated lagoon or pond, Free-water surface constructed wetland, Horizontal subsurface flow constructed wetland, Vertical flow constructed wetland, Unplanted drying bed, Planted drying bed",,Treatment info
30521,Primary chemical used,type_specific,,Treatment,treatment,Choice,,,Primary chemical stored and used by this treatment unit or process,"Treatment type: Chlorination, Disinfection, Chemical feed, Coagulation or flocculation, Nutrient removal (nitrogen or phosphorus), Lime stabilization",,Chemical data
31901,Dispersal type,type_specific,,Dispersal,dispersal,Choice,,,Type of technology used to discharge treated or partially treated effluent to the soil for infiltration or evapotranspiration,,,Dispersal info
32001,Outfall type,type_specific,,Outfall,outfall,Choice,,,Categorization of the outfall by the type of discharge it conveys to the receiving environment,,,Outfall info
32002,Receiving water name,type_specific,,Outfall,outfall,Text,,,"Name of the water body receiving the effluent or overflow, if one exists",,,Outfall info
32003,Screen or control installed,type_specific,,Outfall,outfall,Checkbox,,,"A physical screen, grate, tide gate, or flow-control device is installed at the outfall to remove solids or regulate discharge",,,Outfall info
32004,Receiving environment type,type_specific,,Outfall,outfall,Choice,,,Type of water body or environment receiving the discharge,,,Outfall info
39901,Other vertical asset type,type_specific,,Other vertical,other_vertical,Text,,,Description or categorization of the other type of vertical asset,,,
40101,Pipe type,type_specific,,Pipe,pipe,Choice,,,Category of sewer pipe by its position and function in the collection network,,,Pipe info
40103,Nominal pressure,type_specific,,Pipe,pipe,Unit,Pressure,Pa,Numerical designation of design pressure that is a convenient round number for reference purposes,"Pipe type: Rising main (force main), Inverted siphon",,Pipe info
40104,Pipe depth below ground,type_specific,,Pipe,pipe,Unit,Length,m,Depth of the pipe below the local ground surface,,,Pipe info
40105,Upstream invert level,type_specific,,Pipe,pipe,Unit,Length,m,"Elevation of the lowest point of the internal pipe surface at the upstream end, recorded against the same datum as Survey elevation",,,Pipe info
40106,Downstream invert level,type_specific,,Pipe,pipe,Unit,Length,m,"Elevation of the lowest point of the internal pipe surface at the downstream end, recorded against the same datum as Survey elevation",,,Pipe info
40107,Cross-section shape,type_specific,,Pipe,pipe,Choice,,,Shape of the pipe's internal cross-section,,,Pipe info
40108,Gradient,type_specific,,Pipe,pipe,Number,,,"Slope of the pipe between upstream and downstream inverts, expressed as a percentage",,,Pipe info
40201,Channel cross-section shape,type_specific,,Channel,channel,Choice,,,Shape of the open channel's cross-section,,,Channel info
40202,Lined,type_specific,,Channel,channel,Checkbox,,,"The channel bed and sides have a constructed lining, such as concrete, masonry, or a synthetic membrane, to control seepage and erosion, as opposed to an unlined earthen channel",,,Channel info
40203,Covered or open,type_specific,,Channel,channel,Choice,,,Whether the channel is open to the atmosphere or has a fixed cover or slab over it,,,Channel info
40204,Channel depth,type_specific,,Channel,channel,Unit,Length,m,"Vertical distance from the top of the channel side or lining to the invert (lowest point) of the channel, measured internally",,,Channel info
40205,Channel top width,type_specific,,Channel,channel,Unit,Length,m,"Internal width of the channel measured at the top, between the inner faces of the channel sides",,,Channel info
40206,Gradient,type_specific,,Channel,channel,Number,,,"Slope of the channel between its upstream and downstream inverts, expressed as a percentage",,,Channel info
