code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
00071,Service interval,general,,,,Unit,Time,d,"Recommended interval at which service or routine maintenance should be performed on the asset, such as the scheduled emptying frequency of a containment asset or the calibration of a measuring device","All types except: Sanitation system, Subsystem, Facility, Connection",,Technical
00072,Date of manufacture,general,,,,Date,,,Calendar date when the asset was manufactured,"Type: Pump, Tank, Power, Meter, Electrical, Valve, Sensor, Analyzer, Vehicle, Connection, Datalogger",,Technical
00073,Decommissioning date,general,,,,Date,,,Calendar date when the asset was permanently taken out of service,,,Technical
00074,Owner,general,,,,Text,,,"Name of the individual, organization, or authority that holds legal ownership of the asset, which may differ from the organization that operates or manages it",,,Technical
00076,Operator,general,,,,Text,,,"Name of the individual, organization, or authority that operates or maintains the asset, if different from the owner; assets without an operator recorded are assumed to be operated by their parent system's operator","Type: Sanitation system, Facility, Sanitation point, Vehicle",,Technical
00091,Upstream asset,general,,,,Asset ID,,,Asset ID of the upstream asset from which this asset receives flow,"Type: Pump, Tank, Treatment, Meter, Valve, Flow control, Junction, Sampling point, Sanitation point, Containment, Manhole, Dispersal, Outfall, Pipe, Channel, Connection",,Hydraulic
00097,Downstream asset,general,,,,Asset ID,,,Asset ID of the downstream asset that receives flow from this asset,"Type: Pump, Tank, Treatment, Meter, Valve, Flow control, Junction, Sampling point, Sanitation point, Containment, Manhole, Dispersal, Outfall, Pipe, Channel, Connection",,Hydraulic
00092,Nominal diameter,general,,,,Unit,Length,m,"An approximate measurement of the internal diameter of a pipe, conduit, pump, or junction, which is used to classify according to standard sizes","Type: Meter, Valve, Junction, Pipe, Connection",,Hydraulic
00093,Pipe length,general,,,,Unit,Length,m,"Total length of the pipe itself, measured along its slope from the start to the end of the pipe and excluding manhole chambers, for use in hydraulic calculations and modeling",Type: Pipe,,Hydraulic
00094,Material,general,,,,Choice,,,"Material of construction for pipes, junctions, chambers, and other conduits","Type: Meter, Valve, Junction, Pipe, Manhole, Containment, Channel",,Hydraulic
00095,Minor loss coefficient,general,,,,Number,,,"Dimensionless coefficient that can be used to account for the head loss associated with turbulence in bends, junctions, meters, and valves; usually applicable to pressurized (rising) mains","Type: Junction, Valve, Meter",,Hydraulic
00096,Roughness coefficient,general,,,,Number,,,"Dimensionless coefficient used to account for friction losses in flowing conduits, such as Manning's n for gravity sewers and open channels or Hazen-Williams C for pressurized mains","Type: Pipe, Channel",,Hydraulic
00098,Conveyed content,general,,,,Choice,,,Primary type of flow or material conveyed or handled by the asset,"Type: Pump, Tank, Valve, Flow control, Meter, Junction, Sampling point, Manhole, Outfall, Pipe, Channel",,Hydraulic
00099,Invert level,general,,,,Unit,Length,m,"Elevation of the lowest point of the internal surface of a channel or chamber, recorded against the same datum as Survey elevation","Type: Manhole, Flow control, Outfall",,Hydraulic
00171,Primary contact name,general,,,,Text,,,Individual or office responsible for management or administration of the sanitation system or sanitation point,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00172,Primary contact position,general,,,,Text,,,Title or role in the organization of the primary contact,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00173,Primary contact phone number,general,,,,Text,,,Phone number of the primary contact,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00174,Secondary contact name,general,,,,Text,,,Additional individual who may be contacted if the primary contact is not available,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00175,Secondary contact position,general,,,,Text,,,Title or role of the secondary contact,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00176,Secondary contact phone number,general,,,,Text,,,Phone number of the secondary contact,"Type: Sanitation system,Subsystem, Facility, Sanitation point",,Points of contact
00181,Date updated,general,,,,Date,,,Calendar date of the most recent update made to any attribute,,,Metadata
00182,Date inspected,general,,,,Date,,,"Calendar date of the most recent inspection or audit of the asset, as defined by organizational asset management policies",,,Metadata
00183,Alternate ID,general,,,,Text,,,Optional additional identification code or number that is used by other data systems or organizations to track the asset,,,Metadata
00184,Import code,general,,,,Text,,,"Identification code for an asset that was assigned by an external database or asset management registry, used to maintain backwards traceability for assets that have been imported",,,Metadata
00185,Permit or licence number,general,,,,Text,,,"Identification number of the primary permit, licence, or registration issued for the asset by a regulator or government authority","Type: Sanitation system, Facility, Sanitation point, Vehicle, Outfall",,Metadata
10201,Sanitation system type,type_specific,,Sanitation system,sanitation_system,Choice,,,"Categorization of the system by how excreta and wastewater are contained and conveyed: through a sewer network, in on-site containment, or both",,,Sanitation system info
10202,Sewer network type,type_specific,,Sanitation system,sanitation_system,Choice,,,"Categorization of the collecting network by what it is designed to carry: wastewater only in separate sewers, wastewater and stormwater together in combined sewers, or both","Sanitation system type: Sewered, Mixed",,Sanitation system info
10203,Management type,type_specific,,Sanitation system,sanitation_system,Choice,,,"Type of organization that manages the operations, maintenance, and finances of the sanitation system",,,Sanitation system info
10204,Number of households in service area,type_specific,,Sanitation system,sanitation_system,Number,,,Total number of households within the area that a service provider is legally mandated to offer services to,,,Sanitation system info
10205,Number of households currently served,type_specific,,Sanitation system,sanitation_system,Number,,,"Number of households currently receiving service, whether through a functional sewer connection or through regular servicing of on-site containment (includes households with inactive, intermittent, or cut off service, if service could be re-established)",,,Sanitation system info
10206,System or network diagram,type_specific,,Sanitation system,sanitation_system,Image,,,"Photograph of a recent map or diagram showing the location of sanitation infrastructure, such as the collection network and treatment assets",,,Sanitation system info
10207,Total treatment capacity,type_specific,,Sanitation system,sanitation_system,Unit,Flow rate,m³/s,"Indicative amount of wastewater and faecal sludge that the system's treatment assets are able to receive and treat, within current resource and design constraints",,,Sanitation system info
10208,Sewer technology,type_specific,,Sanitation system,sanitation_system,Choice,,,Predominant sewer technology used in the collecting network,"Sanitation system type: Sewered, Mixed",,Sanitation system info
10209,Design capacity (population equivalent),type_specific,,Sanitation system,sanitation_system,Number,,,"Design capacity of the system expressed in population equivalent (p.e.), a standardized load unit where 1 p.e. is an organic biodegradable load with a five-day biochemical oxygen demand (BOD₅) of 60 g of oxygen per day, independent of actual local per-capita loads (Directive (EU) 2024/3019, Art. 2(10))",,,Sanitation system info
20101,Facility type,type_specific,,Facility,facility,Choice,,,"Type of physical location where a specific function is performed in the collection, transport, treatment, or disposal/reuse of wastewater and faecal sludge",,,Facility info
20102,Process area type,type_specific,,Facility,facility,Text,,,Optional label used to categorize process areas within a facility,Facility type: Process area,,Facility info
20103,Equipped to receive faecal sludge,type_specific,,Facility,facility,Checkbox,,,"The treatment facility is equipped to receive faecal sludge or septage delivered by vehicle, in addition to sewered flow, such as through a discharge structure or receiving station",Facility type: Wastewater treatment plant,,Facility info
